airway,seq,point,lat,lon,route_type,lower,upper,mea,remarks
UZ218,1,BABEX,41.040278,-7.083889,RNAV5,,,,fallback
UZ218,2,ATECA,38.658333,-8.622500,RNAV5,,,,fallback
UZ218,3,MAGUM,39.167500,-8.392500,RNAV5,,,,fallback
UZ222,1,ERTIS,37.416667,-7.614722,RNAV5,,,,fallback
UZ222,2,ALAGU,38.088611,-7.614444,RNAV5,,,,fallback
UZ222,3,BIRBA,39.105556,-7.511944,RNAV5,,,,fallback
UZ222,4,DIGAL,39.740833,-7.989722,RNAV5,,,,fallback
Z227,1,ROSAL,38.021389,-7.101389,RNAV5,,,,fallback
Z227,2,EXONA,38.904444,-8.016667,RNAV5,,,,fallback
UN870,1,BUSEN,38.545000,-10.000000,RNAV5,,,,fallback
UN870,2,MAGUM,39.167500,-8.392500,RNAV5,,,,fallback
UN870,3,MOMAS,39.319167,-8.016667,RNAV5,,,,fallback
UN872,1,LIGRA,38.000000,-9.590833,RNAV5,,,,fallback
UN872,2,ABETO,40.429722,-8.056389,RNAV5,,,,fallback
UN872,3,CANAR,41.385833,-7.469722,RNAV5,,,,fallback
A44,1,ROSAL,38.021389,-7.101389,ATS,,,,fallback
A44,2,ALAGU,38.088611,-7.614444,ATS,,,,fallback
A44,3,GAIOS,38.275556,-8.543056,ATS,,,,fallback
W13,1,MARIM,37.416667,-7.841111,ATS,,,,fallback
W13,2,ALAGU,38.088611,-7.614444,ATS,,,,fallback
