code,name,lat,lon,routes,remarks,src
ATECA,ATECA,38.658333,-8.622500,"A975 UN975 UZ218","FRA I",IFR
MAGUM,MAGUM,39.167500,-8.392500,"G52 W7 UN745 UN870 UP600 UZ7 UZ218","FRA I",IFR
ALAGU,ALAGU,38.088611,-7.614444,"W13 A44 Z222 UL14 UM744 UZ222","FRA I AD LPFR",IFR
BIRBA,BIRBA,39.105556,-7.511944,"A975 UN873 UN975 UZ15 UZ222","FRA I",IFR
ROSAL,ROSAL,38.021389,-7.101389,"A44 Z227 UM744 UZ227","MADRID LISBOA FIR BDRY",IFR
EXONA,EXONA,38.904444,-8.016667,"Z227 UZ227","Holding Pattern",IFR
ELVAR,ELVAR,39.219444,-7.223333,"A975 Z219 UL14 UN975 UN979 UZ219","below FL245",IFR
MOMAS,MOMAS,39.319167,-8.016667,"Z219 UN870 UZ219","FRA I",IFR
BUSEN,BUSEN,38.545000,-10.000000,"A44 UM744 UN870 UZ21 UZ22","FRA I",IFR
LIGRA,LIGRA,38.000000,-9.590833,"G52 UN872","FRA I AD LPPT",IFR
NAKOS,NAKOS,38.000000,-9.334444,"W8 UZ4","FRA I AD LPPT",IFR
EVURA,EVURA,38.665000,-7.918611,"R72 UN726 UN873","FRA I D LPFR",IFR
DIGAL,DIGAL,39.740833,-7.989722,"UN726 UZ218 UZ222","FRA I",IFR
CANAR,CANAR,41.385833,-7.469722,"A43 G41 UL155 UN872","FRA I",IFR
BELDU,BELDU,41.358611,-7.777222,"A43 UL155","FRA I D LPPR",IFR
MAPOR,MAPOR,41.614167,-8.058333,"G414","FRA I",IFR
MANIK,MANIK,40.691944,-8.616111,"A5 UP600","FRA I D LPPR",IFR
LULAS,LULAS,40.899722,-9.281111,"","FRA I",IFR
ABETO,ABETO,40.429722,-8.056389,"UN726 UN872","FRA I",IFR
ABLEG,ABLEG,40.722778,-8.431111,"","FRA I A LPPR",IFR
ABRAT,ABRAT,39.821667,-7.654167,"UN745","FRA I",IFR
ABRIL,ABRIL,40.396111,-8.580278,"","NIL",IFR
ABUPI,ABUPI,41.751111,-7.236111,"UN872","Madrid/Lisboa",IFR
ADINO,ADINO,40.017778,-6.373611,"","LECM FIR",IFR
ADORO,ADORO,41.483056,-6.280000,"A43 UL155","FIR BDRY",IFR
ADSAD,ADSAD,38.478056,-8.981111,"","Lisboa TMA Holding",IFR
AGADO,AGADO,41.872778,-8.926667,"UN729","Madrid/Lisboa FIR BDRY",IFR
AIREZ,AIREZ,39.454722,-8.666111,"","FRA I",IFR
AKABO,AKABO,41.321944,-8.700833,"","FRA I",IFR
AKULU,AKULU,40.984167,-8.611944,"","Holding Pattern",IFR
ALAMA,ALAMA,39.223333,-8.550000,"","FRA I",IFR
ARDID,ARDID,41.173333,-6.282222,"","LECM FIR",IFR
ARNIT,ARNIT,38.990833,-8.959444,"","FRA I",IFR
ASMOV,ASMOV,40.969444,-9.346944,"","FRA I AD LPPR",IFR
ASPOR,ASPOR,41.815278,-8.081111,"UT3","FRA E A LPPR",IFR
BABEX,BABEX,41.040278,-7.083889,"UN976 UZ15 UZ218","FRA I",IFR
BABOV,BABOV,39.876389,-6.873611,"","FRA I",IFR
BALNO,BALNO,41.730556,-6.981667,"","Madrid Lisboa FIR",IFR
BARDI,BARDI,40.583611,-6.302500,"","FIR BDRY",IFR
BAROK,BAROK,35.800000,-10.006667,"W8 UN873 UZ4 UZ218","FIR BDRY",IFR
BATAX,BATAX,41.700556,-6.621944,"UZ218","FIR BDRY",IFR
BEVOP,BEVOP,37.599167,-9.387500,"","FRA ID LPPT",IFR
BOMKO,BOMKO,38.953611,-9.043611,"","Lisboa TMA",IFR
CASLU,CASLU,38.540000,-9.810000,"","Holding Pattern",IFR
CEFOX,CEFOX,38.551667,-9.402778,"","NIL",IFR
COCUN,COCUN,39.026667,-9.068611,"","FRA I",IFR
DEKKI,DEKKI,38.963056,-8.695556,"","Holding Pattern",IFR
DEKUS,DEKUS,38.015278,-10.000000,"UN745","NIL",IFR
DIKMO,DIKMO,40.723333,-7.885833,"","NIL",IFR
DIKUV,DIKUV,36.181667,-12.750556,"","Madeira contingency",IFR
DIRMA,DIRMA,40.851667,-9.500833,"B47 G414 UM191 UZ23 UZ25 UZ28 UZ29","FRA I",IFR
DIVUT,DIVUT,41.028611,-8.325833,"","Holding Pattern",IFR
DUZOP,DUZOP,37.669722,-8.651667,"","FRA ID LPPT LPCS",IFR
EKLID,EKLID,39.142500,-9.263611,"","Holding Pattern",IFR
EKMAR,EKMAR,38.557500,-9.521389,"Y207","Holding Pattern",IFR
EKPER,EKPER,38.423056,-10.000000,"","FRA I",IFR
ELDUK,ELDUK,37.811111,-7.940556,"R72 UN726","FRA I",IFR
ELGIX,ELGIX,41.521111,-7.673056,"","FRA I A LPPR",IFR
ELNUB,ELNUB,39.082222,-10.671111,"","FRA ID LPPT",IFR
EMPAD,EMPAD,38.895556,-9.055278,"","FRA I",IFR
ERNIL,ERNIL,38.498056,-9.529722,"","FRA I",IFR
ERTIS,ERTIS,37.416667,-7.614722,"Z222 UZ222 Y105","FRA I",IFR
ERUKU,ERUKU,38.792500,-8.983056,"","Lisboa TMA",IFR
ESEBI,ESEBI,39.403056,-8.666389,"","FRA IA LPPT",IFR
ESUTI,ESUTI,37.860000,-10.430278,"","Holding Pattern",IFR
ETAKA,ETAKA,41.789167,-7.730000,"","FIR BDRY",IFR
EVPAP,EVPAP,39.152500,-8.793889,"","NIL",IFR
FADEF,FADEF,39.195556,-8.913056,"","NIL",IFR
FERFE,FERFE,39.058611,-10.005833,"","FRA I",IFR
FUSSI,FUSSI,39.210833,-8.904722,"","",IFR
GAIOS,GAIOS,38.275556,-8.543056,"A44","FRA I",IFR
